"""des""","""orbit_id""","""jd""","""cd""","""dist""","""dist_min""","""dist_max""","""v_rel""","""v_inf""","""t_sigma_f""","""h"""
"""438908""","""70""","""2458977.012809433""","""2020-May-07 12:18""","""0.0226842894243701""","""0.0226831507877945""","""0.0226854280613029""","""12.7810427734221""","""12.771849353213""","""< 00:01""","""20.5"""
"""2020 JE""","""1""","""2458977.129569455""","""2020-May-07 15:07""","""0.0301543203302416""","""0.0294924013976086""","""0.0308162041598957""","""12.1191457611286""","""12.1118525043916""","""< 00:01""","""26.155"""
"""2020 JF""","""1""","""2458977.133776651""","""2020-May-07 15:13""","""0.0127931018648392""","""0.0125617082920636""","""0.0130244850426561""","""18.4500812268555""","""18.4387892198917""","""00:04""","""26.042"""
"""2020 HM4""","""8""","""2458977.171601585""","""2020-May-07 16:07""","""0.0274037989035203""","""0.0272672471420956""","""0.0275403498675437""","""18.0521934258181""","""18.0468065568804""","""< 00:01""","""24.574"""
"""2016 HP6""","""26""","""2458977.408951077""","""2020-May-07 21:49""","""0.0111237986139875""","""0.0111237650397265""","""0.0111238321882503""","""5.7223753731107""","""5.68036272221397""","""< 00:01""","""25.3"""
"""2020 HB6""","""12""","""2458978.410947657""","""2020-May-08 21:52""","""0.025070963649026""","""0.0249959207042633""","""0.0251460054425886""","""9.09474883178968""","""9.08305572555098""","""< 00:01""","""24.146"""
"""2020 HC6""","""5""","""2458978.955071492""","""2020-May-09 10:55""","""0.00742517812808197""","""0.00739800210507299""","""0.00745235035530211""","""6.04755225453973""","""5.98792122667352""","""< 00:01""","""25.077"""
"""388945""","""154""","""2458980.095246360""","""2020-May-10 14:17""","""0.0186720606628177""","""0.0186720175878509""","""0.0186721037377867""","""8.77648823788888""","""8.76021394318554""","""< 00:01""","""20.4"""
"""2000 KA""","""28""","""2458981.972033005""","""2020-May-12 11:20""","""0.0227110489829809""","""0.0227105262139515""","""0.0227115727736159""","""13.4981411428435""","""13.4894467133638""","""< 00:01""","""21.7"""
"""2020 JK""","""1""","""2458983.851052780""","""2020-May-14 08:26""","""0.0380118892874015""","""0.0340185921628401""","""0.0420049612522446""","""20.1352985822495""","""20.1318170343465""","""02:10""","""24.009"""
"""2020 HS6""","""4""","""2458984.029454940""","""2020-May-14 12:42""","""0.0411010363363086""","""0.0405518773079063""","""0.0416501921762393""","""23.5790656084206""","""23.5763160793523""","""00:07""","""22.161"""
"""478784""","""41""","""2458985.080720155""","""2020-May-15 13:56""","""0.0217318079294611""","""0.0217317319459278""","""0.0217318839133291""","""3.56512414011612""","""3.53056588076516""","""< 00:01""","""25.5"""
"""2020 HA9""","""1""","""2458985.457672202""","""2020-May-15 22:59""","""0.0467172681218381""","""0.0454080403490989""","""0.0480264645998809""","""15.7702364729851""","""15.7666194895553""","""00:57""","""25.282"""
"""2020 HG9""","""3""","""2458988.344334376""","""2020-May-18 20:16""","""0.0399485654112174""","""0.0396695514556225""","""0.0402275746935357""","""10.6643505543567""","""10.6580944474499""","""00:19""","""23.432"""
"""136795""","""65""","""2458991.406067694""","""2020-May-21 21:45""","""0.0411545391161854""","""0.0411541162873223""","""0.0411549619467422""","""11.6761199257197""","""11.6705736784723""","""< 00:01""","""18.0"""
"""163348""","""121""","""2459006.639047829""","""2020-Jun-06 03:20""","""0.0340483555679983""","""0.0340470945348114""","""0.0340496166034632""","""11.1461805768824""","""11.1391575070987""","""< 00:01""","""20.1"""
"""2013 XA22""","""8""","""2459009.846160339""","""2020-Jun-09 08:18""","""0.027119651833943""","""0.0136640375651358""","""0.0407527671552372""","""6.46607527596498""","""6.4508628434832""","""1_06:44""","""22.8"""
"""2017 MF7""","""2""","""2459015.048308360""","""2020-Jun-14 13:10""","""0.00945459890176152""","""0.00233950242545865""","""0.0346311846374772""","""10.9240840431837""","""10.8982556177093""","""4_10:36""","""25.9"""
"""2018 PD22""","""1""","""2459020.027677025""","""2020-Jun-19 12:40""","""0.044132379870074""","""0.0407542503246079""","""0.120799828898182""","""14.649551198898""","""14.6454293526228""","""18:52""","""24.0"""
"""441987""","""119""","""2459024.780342821""","""2020-Jun-24 06:44""","""0.0251191829450262""","""0.025119170171552""","""0.025119195718509""","""12.8869024202131""","""12.8786686817051""","""< 00:01""","""21.4"""
"""2017 FW128""","""4""","""2459026.112988373""","""2020-Jun-25 14:43""","""0.0175562337194048""","""0.00819040636673851""","""0.0323166684695127""","""5.44814073750671""","""5.42021225988423""","""5_16:53""","""27.5"""
"""2019 AC3""","""12""","""2459031.965045172""","""2020-Jul-01 11:10""","""0.0269624376451186""","""0.0269610028243792""","""0.0269638724898161""","""3.38123567107412""","""3.35188168970683""","""00:01""","""27.3"""
"""2007 UN12""","""20""","""2459034.900589152""","""2020-Jul-04 09:37""","""0.0426792910587631""","""0.0397629245884269""","""0.0455937236349706""","""2.88172176588821""","""2.85997549138045""","""06:49""","""28.7"""
